Le Morne Brabant	-20.46056	57.31361	2008
Le Quesnoy Communal Cemetery Extension	50.25584	3.63289	2023
Lednice-Valtice Cultural Landscape	48.7758	16.775	1996
Lena Pillars	61.10694	127.36167	2012
Lençóis Maranhenses National Park	-2.48333	-43.13333	2024
Leptis Magna	32.63675	14.2922	1982
León Cathedral	12.435	-86.8781	2011
Liberty Island	40.69	-74.045	1984
Lijssenthoek Military Cemetery	50.82878	2.70106	2023
Limeskastell Pohl	50.25194	7.86592	2005
Linderhof Palace	47.57162	10.96075	2025
Litomyšl Chateau	49.87344	16.31265	1999
Llotja de la Seda	39.47444	-0.37833	1996
Lone Tree Cemetery	50.77444	2.86194	2023
Longmen Grottoes	34.55556	112.46972	2000
Longobards in Italy, Places of Power	46.09417	13.43306	2011
Loos Memorial	50.46085	2.77177	2023
Lord Howe Island Group	-31.55617	159.07972	1982
Lorentz National Park	-4.62973	137.97268	1999
Los Alerces National Park	-42.8075	-71.89889	2017
Los Glaciares National Park	-50.33053	-73.23416	1981
Los Katíos National Park	7.8	-77.15	1994
Louvencourt Military Cemetery	50.0893	2.50374	2023
Lower German Limes	51.66222	6.45389	2021
Luang Prabang	19.89	102.13472	1995
Luis Barragán House and Studio	19.41111	-99.1925	2004
Lumbini	27.4814	83.27583	1997
Luther Memorials in Eisleben and Wittenberg	51.86472	12.65278	1996
M'banza-Kongo	-6.26667	14.25	2017
M'zab	32.48722	3.68139	1982
Macquarie Island	-54.63	158.86	1997
Madara Rider	43.27737	27.11889	1979
Madinat Al-Zahra	37.88608	-4.86779	2018
Madriu-Perafita-Claror Valley	42.49215	1.59443	2004
Mahabodhi Temple	24.696	84.99136	2002
Maison Carrée	43.83819	4.35611	2023
Major Mining Sites of Wallonia	50.43528	3.83833	2012
Major Town Houses of the Architect Victor Horta	50.81667	4.35	2000
Malbork Castle	54.03972	19.02778	1997
Malpelo Fauna and Flora Sanctuary	4.0	-81.6	2006
Mammoth Cave National Park	37.18694	-86.10111	1981
Manas National Park	26.71667	90.93333	1985
Manovo-Gounda St. Floris National Park	8.5	21.5	1988
Manu National Park	-12.14	-71.66	1987
Mapungubwe Cultural Landscape	-22.21167	29.38789	2003
Marceau-Denkmal	50.3737	7.592	2002
Margravial Opera House	49.94434	11.57866	2012
Marquesas Islands	-8.9	-139.6	2024
Masada	31.31556	35.35389	2001
Matobo Hills	-20.5	28.5	2003
Maulbronn Monastery	49.0011	8.8129	1993
Mausoleum of Khoja Ahmed Yasawi	43.29764	68.27104	2003
Mausoleum of the First Qin Emperor	34.38167	109.25389	1987
Maymand	30.16806	55.37556	2015
Mazagan	33.25656	-8.50248	2004
Medici Villas and Gardens in Tuscany	43.85778	11.30417	2013
Medieval City of Rhodes	36.44306	28.22694	1988
Medieval Monuments in Kosovo	42.66111	20.26556	2004
Medina of Fez	34.0625	-4.9725	1981
Medina of Marrakesh	31.63139	-7.98667	1985
Megalithic Temples of Malta	36.04917	14.26944	1980
Mehmed Paša Sokolović Bridge	43.78248	19.28794	2007
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur	29.976	31.1304	1979
Mengening Temple	-8.42002	115.31203	2012
Menin Gate	50.85205	2.89107	2023
Merv	37.66278	62.1925	1999
Mesa Verde National Park	37.26038	-108.49444	1978
Meuse-Argonne American Cemetery	49.33417	5.09333	2023
Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China (Phase I)	32.9319	121.0168	2019
Mill Road Cemetery	50.06119	2.68325	2023
Minaret and Archaeological Remains of Jam	34.3964	64.5159	2002
Minoan Palatial Centres	35.29722	25.1625	2025
Mir Castle Complex	53.45127	26.47289	2000
Modena Cathedral	44.64623	10.92572	1997
Mogao Caves	40.03722	94.80417	1987
Mohenjo-daro	27.32917	68.13889	1980
Monarch Butterfly Biosphere Reserve	19.60639	-100.24167	2008
Monasteries of San Millán de la Cogolla	42.32583	-2.86505	1997
Monasteries on the slopes of Popocatépetl	18.93472	-98.89778	1994
Monte San Giorgio	45.91667	8.95	2003
Morhange German military cemetery	48.94197	6.66462	2023
Mosque City of Bagerhat	22.66097	89.75855	1985
Mount Kenya National Park	-0.12389	37.33667	1997
Mount Kumgang	38.65676	128.1049	2025
Mount Nemrut	37.98074	38.74083	1987
Mount Sanqing	28.95194	118.05194	2008
Mount Tai	36.26667	117.1	1987
Mount Wutai	39.08139	113.56694	2009
Mudejar Architecture of Aragon	40.34389	-1.10722	1986
Mulanje Massif	-15.9	35.65	2025
Museum Island	52.52139	13.39556	1999
Mushroom Square	-15.81483	-47.90529	1987
Muskau Park	51.54756	14.72323	2004
Mystras	37.074	22.3673	1989
Mỹ Sơn	15.76324	108.12445	1999
Nahal Me'arot Nature Reserve	32.67083	34.96611	2012
Nahanni National Park Reserve	61.5971	-125.852	1978
Nalanda Mahavihara	25.1368	85.44383	2016
Namhansanseong	37.47803	127.18419	2014
Namib Sand Sea	-24.88528	15.40778	2013
Nan Madol	6.84194	158.33222	2016
Nanda Devi National Park	30.41861	79.84972	1988
Naqsh-e Jahan Square	32.65822	51.67733	1979
Natural and Cultural Heritage of the Ohrid region	40.9007	20.66402	1979
Naumburg Cathedral	51.15472	11.80389	2018
Navarin Ossuary: Monument to the Dead of the Champagne Armies	49.21853	4.54203	2023
Navy Petty-Officers School of Mechanics	-34.53842	-58.46361	2023
Nazca Lines	-14.6975	-75.135	1994
Nelson's Dockyard	17.00833	-61.76444	2016
Neolithic flint mines of Spiennes	50.41999	3.98258	2000
Neusiedl Lake	47.83333	16.75	2001
Neuve-Chapelle Indian Memorial	50.5751	2.77513	2023
Neuville-St Vaast German war cemetery	50.34222	2.75417	2023
New Caledonia Barrier Reef	-20.41194	164.56639	2008
